"","OTU","Sample","Abundance","X.Sample","MeatType","Packaging","SampleOrder","combine","Domain","Phylum","Class","Order","Family","Genus"
"15","Otu0001","BRMA4",49.5786442,"BRMA4","Breast","Modified atmosphere",34,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"16","Otu0001","BRRG4",48.79300787,"BRRG4","Breast","Regular aerobic",14,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"17","Otu0001","WHRG7",47.86457871,"WHRG7","Whole chicken","Regular aerobic",27,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"18","Otu0001","BRMA2",47.56556684,"BRMA2","Breast","Modified atmosphere",32,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"19","Otu0002","BRVA9",45.10768273,"BRVA9","Breast","Vacuum",9,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"20","Otu0001","BRRG6",43.24710756,"BRRG6","Breast","Regular aerobic",16,"BRRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"21","Otu0002","BRVA2",42.81879525,"BRVA2","Breast","Vacuum",2,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"22","Otu0002","WHRG4",40.34847134,"WHRG4","Whole chicken","Regular aerobic",24,"WHRG","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"23","Otu0002","BRVA10",39.17212708,"BRVA10","Breast","Vacuum",10,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"24","Otu0001","WHRG2",38.32203094,"WHRG2","Whole chicken","Regular aerobic",22,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"25","Otu0001","BRMA7",35.76219995,"BRMA7","Breast","Modified atmosphere",37,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"26","Otu0001","WHRG1",34.88772292,"WHRG1","Whole chicken","Regular aerobic",21,"WHRG","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"27","Otu0002","BRVA6",32.97350082,"BRVA6","Breast","Vacuum",6,"BRVA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"28","Otu0001","BRMA6",31.00946019,"BRMA6","Breast","Modified atmosphere",36,"BRMA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
